zip,lat,lgt
00601,18.139845025,-66.703300221
00602,18.384364416,-67.183857905
00603,18.450707994,-67.145194885
00604,18.493863,-67.147469
00605,18.4437,-67.1383
00606,18.181248922,-66.979567507
00610,18.283642319,-67.144631347
00611,18.2753,-66.8139
00612,18.458773013,-66.721831317
00613,18.465646952,-66.723887699
00614,18.4609,-66.7377
00616,18.444080679,-66.619231383
00617,18.440355674,-66.546730027
00622,18.032874336,-67.12893972
00623,18.078927172,-67.155467115
00624,18.046899275,-66.724740944
00627,18.473560243,-66.843421509
00637,18.07008133,-66.951681387
00638,18.322874011,-66.467831288
00641,18.256745525,-66.698839607
00646,18.449639034,-66.277879292
00647,17.965364633,-66.939489711
00650,18.375706955,-66.580878169
00652,18.467644319,-66.615553182
00653,17.973178616,-66.906649692
00656,18.019733274,-66.789566767
00659,18.480733257,-66.813239503
00660,18.140089358,-67.121676354
00662,18.482774076,-67.024075838
00664,18.219176828,-66.592002374
00667,18.04818147,-67.05790936
00669,18.295242639,-66.882936484
00670,18.252322843,-66.989367407
00674,18.430695296,-66.48021668
00676,18.394878231,-67.114230706
00677,18.337465351,-67.24620936
00678,18.469548813,-66.934982481
00680,18.19004001,-67.136520184
00681,18.202039537,-67.14503838
00682,18.206316456,-67.171316063
00683,18.083460287,-67.039826842
00685,18.331379564,-66.993055538
00687,18.338527267,-66.413030153
00688,18.356933426,-66.623193861
00690,18.488984961,-67.101315388
00692,18.432710019,-66.327644115
00693,18.449480062,-66.401369033
00694,18.444368,-66.394796
00698,18.026441131,-66.855729685
00703,18.255486676,-66.102392162
00704,17.973753102,-66.240480038
00705,18.137862537,-66.267366521
00707,17.998756494,-65.898895998
00714,17.976065791,-66.058097408
00715,18.010742238,-66.566342012
00716,18.000752539,-66.606553584
00717,18.003463894,-66.613003173
00718,18.207915474,-65.728825285
00719,18.29962663,-66.244345348
00720,18.190236349,-66.405543547
00721,18.3768,-65.8495
00723,18.046508264,-66.007593524
00725,18.234345948,-66.031412709
00726,18.226037016,-66.039912352
00727,18.232061601,-66.052275031
00728,18.0094205,-66.64983146
00729,18.381997022,-65.896720291
00730,18.024586933,-66.613346396
00731,18.096448969,-66.637382601
00732,18.0244,-66.6204
00733,18.016422,-66.614179
00735,18.266128344,-65.64947612
00736,18.118545891,-66.147729017
00737,18.1088,-66.1625
00738,18.332018464,-65.65436562
00739,18.17188121,-66.146179004
00740,18.329660726,-65.636367889
00741,18.161640811,-65.75602276
00744,18.2095,-65.7866
00745,18.377158172,-65.828923336
00751,17.978638295,-66.280341427
00754,18.190954276,-65.969868339
00757,17.969861813,-66.393277695
00765,18.145612106,-65.446120704
00766,18.12827088,-66.496020874
00767,18.059603348,-65.866928556
00769,18.073780698,-66.367129267
00771,18.188900733,-65.877084703
00772,18.432075214,-65.869078411
00773,18.373049255,-65.718050276
00777,18.228500617,-65.921348737
00778,18.250614579,-65.97675054
00780,18.050963917,-66.553539328
00782,18.22139991,-66.227071299
00783,18.3389527,-66.319850611
00784,17.980905625,-66.115713535
00785,17.9848,-66.1103
00791,18.128219946,-65.825388277
00792,18.150243,-65.822041
00794,18.187417975,-66.311882754
00795,18.038068014,-66.50821587
00801,18.3388,-64.9133
00802,18.338575169,-64.91065676
00803,18.3388,-64.9133
00804,18.3388,-64.9133
00820,17.743487943,-64.713550072
00830,18.3356,-64.7506
00831,18.3169,-64.7783
00840,17.714787706,-64.845364588
00850,17.728622143,-64.796238115
00901,18.464787217,-66.107039411
00902,18.464976,-66.112205
00907,18.453258991,-66.075316894
00908,18.455494,-66.082523
00909,18.44301253,-66.068346086
00910,18.444244,-66.069513
00911,18.448284514,-66.059617686
00912,18.445441031,-66.060130368
00913,18.451144641,-66.043242782
00914,18.45104,-66.055292
00915,18.437415935,-66.047652628
00916,18.4396,-66.0535
00917,18.421373123,-66.050268965
00918,18.416446968,-66.063044531
00919,18.427066,-66.069908
00920,18.409528248,-66.089768832
00921,18.392889752,-66.088966839
00922,18.4116,-66.1026
00923,18.410505005,-66.036896149
00924,18.399749784,-66.01406626
00925,18.402864039,-66.053150526
00926,18.368178423,-66.056467659
00927,18.392474705,-66.069099153
00928,18.397653,-66.048371
00929,18.397262,-66.010827
00931,18.397654,-66.048357
00934,18.417506579,-66.113111842
00936,18.417514069,-66.076112623
00937,18.4428,-65.9965
00940,18.4441,-66.0685
00949,18.435878573,-66.19493826
00950,18.4113,-66.2113
00951,18.4113,-66.2113
00952,18.430213614,-66.183558005
00953,18.385037126,-66.226007653
00954,18.3869,-66.2488
00956,18.363453876,-66.161487023
00957,18.369783742,-66.181880336
00958,18.3802,-66.1722
00959,18.392004699,-66.153656031
00960,18.3891,-66.1559
00961,18.408185001,-66.162426003
00962,18.437152262,-66.132299383
00963,18.441279,-66.11905
00965,18.431613534,-66.116022804
00966,18.399080514,-66.11441568
00968,18.405770589,-66.100336627
00969,18.368267947,-66.107213741
00970,18.357174,-66.114462
00971,18.357492514,-66.106430838
00976,18.363866394,-66.017020141
00977,18.436731,-66.123439
00979,18.438927551,-66.018509845
00981,18.4428,-65.9965
00982,18.409628672,-65.992861831
00983,18.4165979,-65.976115713
00984,18.41,-65.9754
00985,18.397783528,-65.959474484
00986,18.379811,-65.956168
00987,18.37327467,-65.968133646
00988,18.3978,-65.9791
01001,42.070274935,-72.622395732
01002,42.374873627,-72.510798781
01003,42.385094275,-72.526067739
01004,42.373313449,-72.526972236
01005,42.413410989,-72.111974755
01007,42.273595434,-72.409057768
01008,42.186773788,-72.945367876
01010,42.13330728,-72.202494225
01011,42.293923206,-72.967189321
01012,42.378454673,-72.840033982
01013,42.162351473,-72.607864374
01014,42.145695,-72.608228
01020,42.1757725,-72.575985011
01021,42.15852,-72.585325
01022,42.19509398,-72.558936737
01026,42.467389904,-72.919570535
01027,42.268547301,-72.677164773
01028,42.064168083,-72.506626874
01030,42.07057072,-72.674081917
01031,42.329299709,-72.182769894
01032,42.453466299,-72.82149931
01033,42.253560232,-72.525698729
01034,42.068522254,-72.934141492
01035,42.356355969,-72.572935981
01036,42.065813546,-72.427045342
01038,42.376239033,-72.605400453
01039,42.391581172,-72.690545476
01040,42.202484559,-72.626168507
01041,42.202030122,-72.614697423
01050,42.267572077,-72.865437839
01053,42.35229763,-72.698668519
01054,42.468779322,-72.497009207
01056,42.173375343,-72.469938776
01057,42.097930537,-72.321319494
01060,42.324184475,-72.636430051
01061,42.321612,-72.627163
01062,42.325838836,-72.677840747
01068,42.348979697,-72.05266398
01069,42.17003683,-72.324353807
01070,42.516928906,-72.920993698
01071,42.161649758,-72.857232337
01072,42.468744934,-72.428015628
01073,42.225746693,-72.717547067
01075,42.237604378,-72.583136269
01077,42.053672489,-72.769547254
01080,42.181195383,-72.362651596
01081,42.059810392,-72.225580209
01082,42.264579363,-72.257592337
01084,42.377667612,-72.881650469
01085,42.128523472,-72.749353518
01088,42.387191267,-72.637444061
01089,42.115740537,-72.638990235
